track_id,name,album,artist,release_date,length,popularity,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,mode,playlist_id
1XYJHPrROELfAecWedkhCe,O Mere Sona Re Sona,Teesri Manzil (Original Motion Picture Soundtrack),R. D. Burman,1966-12-31,300088,31,3,0.915,0.676,0.551,0.0,0.294,-6.586,0.0814,108.82,0.907,4,1,6mx7rVYF6ed2JTMegQ8SY0
4so9JgcGs2o2YMnb4jqUWU,O Haseena Zulfonwale Jane Jahan,Teesri Manzil (Original Motion Picture Soundtrack),R. D. Burman,1966-12-31,415236,17,0,0.681,0.387,0.649,5.57e-06,0.3,-5.197,0.0571,92.682,0.779,4,1,6mx7rVYF6ed2JTMegQ8SY0
3hYK9VisrrkT6ctDcHdu3e,Aaja Aaja Main Hoon Pyar Tera,Teesri Manzil (Original Motion Picture Soundtrack),R. D. Burman,1966-12-31,401160,22,4,0.823,0.482,0.59,0.057,0.394,-13.831,0.143,112.685,0.772,4,1,6mx7rVYF6ed2JTMegQ8SY0
5NufGwz095agtMV3wAI62y,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne (Original Motion Picture Soundtrack),R. D. Burman,1967-12-30,251414,12,7,0.978,0.603,0.29,6.34e-05,0.0991,-6.897,0.0545,110.34,0.581,4,1,6mx7rVYF6ed2JTMegQ8SY0
7kq7GSLlgBiWIY74h3euB9,Saathiya Nahin Jana,Aya Sawan Jhoom Ke (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,1969-12-01,269000,19,7,0.902,0.42,0.637,0.00213,0.208,-5.876,0.0702,156.319,0.814,4,1,6mx7rVYF6ed2JTMegQ8SY0
2QduffmP1CwjJ6kAA5hkUk,"Likhe Jo Khat Tujhe (From ""Kanyadaan"")",Memoirically - Mohammed Rafi,Mohammed Rafi,2018-04-24,273533,41,11,0.89,0.37,0.45,0.14,0.326,-13.439,0.0338,106.629,0.745,4,0,6mx7rVYF6ed2JTMegQ8SY0
1zS4QQSbzkkdxXvrsiCpL9,Pardesiyon Se Na Ankhiyan Milana - Female Vocals,Jab Jab Phool Khile (Original Motion Picture Soundtrack),Kalyanji-Anandji,1965-10-22,197868,9,2,0.975,0.369,0.523,0.716,0.13,-6.895,0.0912,163.505,0.419,4,0,6mx7rVYF6ed2JTMegQ8SY0
3RM9QK09MCBbThpyBP8aYB,Woh Bhooli Dastan Lo Phir Yaad,Sanjog (Original Motion Picture Soundtrack),Madan Mohan,1961-12-31,292013,6,9,0.984,0.457,0.378,0.0433,0.212,-11.327,0.0423,125.727,0.454,4,1,6mx7rVYF6ed2JTMegQ8SY0
5B9I49diHU1gvikeUmF8AH,Teri Aankhon Ke Siva - Female Vocals,Chirag (Original Motion Picture Soundtrack),Madan Mohan,1969-12-01,265066,12,8,0.985,0.331,0.418,0.00284,0.37,-12.007,0.0352,147.059,0.638,3,1,6mx7rVYF6ed2JTMegQ8SY0
5jLLoCldTG8bsynJWI7jJT,"Dil Ka Bhanwar Kare Pukar (From ""Tere Ghar Ke Samne"")",Memoirically - Mohammed Rafi,Mohammed Rafi,2018-04-24,199119,27,6,0.922,0.384,0.416,6.99e-06,0.281,-9.033,0.0449,155.158,0.721,3,1,6mx7rVYF6ed2JTMegQ8SY0
70s7eNRRO25LSMi4Ix903S,Chale The Saath Milkar,Hasina Maan Jaayegi (Original Motion Picture Soundtrack),Kalyanji-Anandji,1968-12-01,203826,14,9,0.975,0.585,0.29,0.0474,0.181,-13.607,0.0343,116.217,0.785,4,0,6mx7rVYF6ed2JTMegQ8SY0
4vqhlfzud2HfdAtz7stS22,Bekhudi Mein Sanam,Hasina Maan Jaayegi (Original Motion Picture Soundtrack),Kalyanji-Anandji,1968-12-01,330448,19,4,0.913,0.424,0.566,0.00387,0.0722,-7.392,0.0641,83.619,0.262,4,0,6mx7rVYF6ed2JTMegQ8SY0
6v9g8NkqeQZa73MQkPnlFa,Yeh Mera Prem Patra,Sangam (Original Motion Picture Soundtrack),Shankar Jaikishan,1953-12-01,265146,29,2,0.98,0.501,0.282,0.73,0.181,-12.366,0.0392,116.806,0.448,4,1,6mx7rVYF6ed2JTMegQ8SY0
1fTJIGK6BkARUxrqk9EzrJ,Zindagi Bhar Nahi Bhoolegi,Barsaat Ki Raat (Original Motion Picture Soundtrack),Roshan,1960-01-01,245487,17,0,0.978,0.683,0.301,0.837,0.0912,-12.853,0.0514,111.796,0.633,4,1,6mx7rVYF6ed2JTMegQ8SY0
1O5qA3XSUP6Kxn0eeSJls4,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai (Original Motion Picture Soundtrack),Shankar Jaikishan,1960-12-31,315613,28,5,0.875,0.566,0.412,0.00314,0.204,-12.63,0.0309,102.478,0.679,4,1,6mx7rVYF6ed2JTMegQ8SY0
7KoJExPLSJNymJRSDR56UF,"Aap Ki Nazron Ne Samjha (From ""Anpadh"")",Masterworks Lata Mangeshkar,Lata Mangeshkar,2018-04-25,234893,37,4,0.816,0.339,0.373,0.0,0.61,-9.576,0.0409,174.094,0.583,1,0,6mx7rVYF6ed2JTMegQ8SY0
7vBURRSR4klz0ITXs1YBWY,Aya Sawan Jhoom Ke,Aya Sawan Jhoom Ke (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,1969-12-01,414981,15,1,0.747,0.451,0.807,0.00378,0.0945,-4.829,0.0761,92.02,0.711,4,1,6mx7rVYF6ed2JTMegQ8SY0
2Dt8XxTjzv8OfM96nZWnY6,Jaiye Aap Kahan Jayenge,Mere Sanam (Original Motion Picture Soundtrack),O. P. Nayyar,1965-12-26,383746,20,0,0.839,0.525,0.538,0.0,0.224,-8.137,0.0272,105.197,0.59,4,0,6mx7rVYF6ed2JTMegQ8SY0
6U9TxZgPueOqKvFTlyo1ke,Chalo Sajna Jhahan Tak,Mere Hamdam Mere Dost (Original Motion Picture Soundtrack),Laxmikant–Pyarelal,1968-12-01,296413,10,9,0.917,0.368,0.504,0.00367,0.196,-11.743,0.0542,153.011,0.534,4,1,6mx7rVYF6ed2JTMegQ8SY0
1ekvpHbNKELfHq8q6x7OO1,"Koi Hamdam Na Raha (From ""Jhumroo"")",One Man Many Roles - Kishore Kumar,Kishore Kumar,2018-06-06,204233,9,2,0.815,0.476,0.452,0.0259,0.21,-6.667,0.0327,81.731,0.261,4,1,6mx7rVYF6ed2JTMegQ8SY0
