track_id,name,album,artist,release_date,length,popularity,key,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,time_signature,mode,playlist_id,year,decade
2LcXJP95e4HKydTZ2mYfrx,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi (Original),Salim–Sulaiman,11/6/2008,0.0002815729999999999,71,8,0.315,0.56,0.604,1.12e-06,0.176,-8.732,0.0866,84.784,0.75,4,1,3kRi9OHXNYJeSxYjqK2qfJ,2008,2000
4iFPsNzNV7V9KJgcOX7TEO,Tu Jaane Na,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Pritam,11/6/2009,0.000341933,71,7,0.361,0.702,0.86,1.33e-06,0.133,-3.969,0.0345,120.042,0.829,4,1,37i9dQZF1DWZNJXX2UeBij,2009,2000
5FXMRdJjKq1BIX4e8Eg9mK,Ajab Si,Om Shanti Om,Vishal-Shekhar,9/18/2007,0.000241668,70,8,0.397,0.697,0.438,0.0,0.293,-8.411,0.0289,117.954,0.58,4,1,37i9dQZF1DWZNJXX2UeBij,2007,2000
3APdIdF8H0jsxSuGOqXedS,Kabhi Kabhi Aditi,Jaane Tu... Ya Jaane Na,A.R. Rahman,5/21/2008,0.000218836,71,7,0.276,0.791,0.558,0.0,0.0859,-7.155,0.0661,95.077,0.872,4,0,2Lw2dIL7pg5haDmtUSjzPq,2008,2000
6udC4b4jOSnHb9ItnXgKLR,Saibo,Shor in the City (Original Motion Picture Soundtrack),Sachin-Jigar,3/28/2011,0.0001952529999999999,71,2,0.738,0.619,0.429,1.35e-05,0.136,-7.867,0.028,90.058,0.545,4,1,37i9dQZF1DX7BXvxNJkwzB,2011,2010
7mNZUnDWUDidWBFaUpVtOC,Chidiya,Chidiya,Vilen,12/14/2019,0.00025333299999999995,74,6,0.715,0.486,0.494,0.0,0.109,-8.56,0.0324,179.975,0.414,4,1,37i9dQZF1DX7BXvxNJkwzB,2019,2010
2tjWCe2W7sgvS3C8NHcdtI,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",Various Artists,2/22/2019,0.00022250000000000001,73,7,0.699,0.435,0.658,0.0,0.125,-5.949,0.0368,77.17,0.524,4,0,37i9dQZF1DX7BXvxNJkwzB,2019,2010
4bD9z9qa4qg9BhryvYWB7c,Kabira,Yeh Jawaani Hai Deewani,Pritam,3/30/2013,0.000223459,72,2,0.481,0.59,0.555,0.0,0.192,-6.861,0.0271,84.027,0.191,4,1,2Lw2dIL7pg5haDmtUSjzPq,2013,2010
3hkC9EHFZNQPXrtl8WPHnX,Agar Tum Saath Ho,Tamasha,A.R. Rahman,10/16/2015,0.0003410539999999999,72,3,0.557,0.562,0.519,0.000268,0.172,-8.744,0.0326,122.925,0.415,4,1,37i9dQZF1DX7BXvxNJkwzB,2015,2010
0ZHILXmUaVSLEOCWxPQ1ga,Makhna,"Makhna (From ""Drive"")",Tanishk Bagchi,10/3/2019,0.000183,72,1,0.167,0.696,0.704,0.0,0.155,-7.876,0.0423,124.972,0.426,4,1,37i9dQZF1DX7BXvxNJkwzB,2019,2010
5iCY0TXNImK4hyKfcplQsg,Baarishein,Baarishein,Anuv Jain,1/12/2018,0.000207309,71,2,0.926,0.475,0.124,0.0,0.0972,-9.463,0.0444,94.42,0.19,4,1,37i9dQZF1DX5q67ZpWyRrZ,2018,2010
6vo7Y1iWyZvpjvFbf6BiZ5,Kalank (Title Track),Kalank (Original Motion Picture Soundtrack),Pritam,4/14/2019,0.0003111859999999999,71,10,0.524,0.57,0.55,3.73e-05,0.0921,-8.343,0.035,117.999,0.435,4,1,37i9dQZF1DX7BXvxNJkwzB,2019,2010
5O932cZmzOZGOGZz9RHx20,Khairiyat,Chhichhore,Pritam,8/31/2019,0.000280281,74,0,0.697,0.534,0.481,0.0,0.142,-9.016,0.0412,124.914,0.293,4,0,37i9dQZF1DX7BXvxNJkwzB,2019,2010
5QtQFSdyZEl0w4iDxAyv76,Namo Namo,Kedarnath,Amit Trivedi,11/27/2018,0.00032225,71,4,0.436,0.648,0.711,0.0,0.121,-6.216,0.0304,119.935,0.33,4,1,37i9dQZF1DX7BXvxNJkwzB,2018,2010
5WzfGg2ueNoOS5aIkaR9qX,Atak Gaya - Arijit Singh,Badhaai Do (Original Motion Picture Soundtrack),Various Artists,2/1/2022,0.000199407,74,6,0.87,0.4,0.366,0.00163,0.102,-8.598,0.0342,80.568,0.508,4,1,37i9dQZF1DX0XUfTFmNBRM,2022,2020
2l3dFxtoSMgMQVyRIUHjpz,Akhiyaan,Akhiyaan,Mitraz,2/24/2022,0.0001918679999999999,76,2,0.0533,0.724,0.618,0.704,0.0886,-9.007,0.0534,100.021,0.0683,4,1,37i9dQZF1DX5q67ZpWyRrZ,2022,2020
5urYiIXu1ZhfMAOsp7WDTc,"Dil Ko Karaar Aaya (From ""Sukoon"")","Dil Ko Karaar Aaya (From ""Sukoon"")",Yasser Desai,7/31/2020,0.00023148599999999999,76,11,0.777,0.55,0.448,0.000459,0.111,-9.117,0.0366,147.986,0.388,4,1,37i9dQZF1DX7BXvxNJkwzB,2020,2020
46NYX9zIml71qtfYYjakTI,"Kesariya Audio Teaser (From ""Brahmastra"")","Kesariya Audio Teaser (From ""Brahmastra"")",Pritam,4/14/2022,4.4698000000000005e-05,77,0,0.435,0.56,0.634,0.00435,0.0983,-8.803,0.031,94.024,0.465,4,1,37i9dQZF1DX0XUfTFmNBRM,2022,2020
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")","Ranjha (From ""Shershaah"")",Various Artists,8/5/2021,0.000228855,77,1,0.478,0.603,0.573,0.0,0.0971,-5.843,0.0502,82.941,0.236,4,1,37i9dQZF1DX0XUfTFmNBRM,2021,2020
2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")","Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,7/30/2021,0.000230292,78,10,0.615,0.72,0.63,0.0,0.108,-5.549,0.0413,81.009,0.512,4,1,37i9dQZF1DX0XUfTFmNBRM,2021,2020
0yCWDaAgOtg6TKlNCg9rwA,Tu Aake Dekhle,The Carnival,King,9/21/2020,0.00027,79,11,0.515,0.77,0.84,0.00452,0.145,-4.022,0.107,96.012,0.192,4,1,37i9dQZF1DX7BXvxNJkwzB,2020,2020
0snQrp1VaY5Pj1YIHRJpRJ,Chaand Baaliyan,Chaand Baaliyan,Aditya A,3/28/2020,0.00010326399999999999,80,0,0.796,0.729,0.396,0.0,0.104,-8.98,0.0359,97.281,0.886,4,1,37i9dQZF1DX0XUfTFmNBRM,2020,2020
4iEGv5Ne6HuCkFCjzxdWQK,Meri Jaan,Gangubai Kathiawadi,Sanjay Leela Bhansali,2/18/2022,0.000238103,75,0,0.629,0.745,0.432,0.0,0.351,-8.092,0.0406,104.018,0.693,4,0,37i9dQZF1DX0XUfTFmNBRM,2022,2020
2cbaCL38j8eUXBQjvLawET,"Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")","Bhool Bhulaiyaa 2 Title Track (From ""Bhool Bhulaiyaa 2"")",Pritam,5/2/2022,0.000211666,77,0,0.0663,0.857,0.893,0.0,0.0335,-2.87,0.0422,108.022,0.845,4,0,37i9dQZF1DX0XUfTFmNBRM,2022,2020
